Video Title,Genre,Comment,Error,Category,Correct Form
"ওবায়দুল কাদের বললেন, ‘খেলা হবে’; আর রুমিন ফারহানা বললেন, ‘আসেন খেলি’ ! | Quader | Rumeen Farhana",Politics,কাদের কি খেলব কাদের তো খেলতেই পারে না,1,Grammatical,কাদের কি খেলবে কাদের তো খেলতেই পারে না
পুলিশের গাড়ির ওপর চড়াও বিএনপির কর্মীরা  | BNP | Channel 24,Politics,এসব করে আরো কোন ঠাসা হবে,1,Spelling,এসব করে আরো কোণঠাসা  হবে
Ayub Bachchu |  Ek Akash Tara | আইয়ুব বাচ্চু | এক আকাশ তারা | Official Music Video,Entertainment,যুগ যুগ ধরে আমাদের  মনে গেথে থাকবে এ গান,0,,যুগ যুগ ধরে আমাদের  মনে গেথে থাকবে এ গান
যে প্রেম কাহিনী কোন বাধা মানেনি | BBC Bangla,Miscellaneous,অাচছা অাপু এলাজী থাকলে টিকা নেওয়া জাবেনা,1,Spelling,আচ্ছা আপু এলার্জী থাকলে টিকা নেওয়া যাবেনা
তুরস্কের চেয়ে ভয়াবহ ভূমিকম্পের ঝুঁকিতে বাংলাদেশ | BBC Bangla,News,হে আল্লাহ এই জালিমদের থেকে আমাদের সন্তান সন্তদের কে আপনি হেফাজত করেন,0,,হে আল্লাহ এই জালিমদের থেকে আমাদের সন্তান সন্তদের কে আপনি হেফাজত করেন
মাহমুদুল্লাহর সেরা ১০টি ইনিংস || 10 Greatest Innings of Mahmudullah Riyad || Bissoy Bangla,Sports,আমার মতে মাহমুদুল্লাহ রিয়াদ বাংলাদেশের সেরা খেলোয়াড়,0,,আমার মতে মাহমুদুল্লাহ রিয়াদ বাংলাদেশের সেরা খেলোয়াড়
পথ শিশুর কথাগুলে প্রধানমন্ত্রীর কলিজা কাপিয়ে দিবে || A heart-wrenching story of a poor Boy,Miscellaneous,কথা গুলো শুনে কান্না করে দিয়েছি কারণ আমি ও এতীম এই পৃথিবীতে এতীম কোন দাম নেই পৃথিবীর মানুষ গুলো বড়ো স্বার্থ পর,1,Spelling,কথা গুলো শুনে কান্না করে দিয়েছি কারণ আমিও এতিম এই পৃথিবীতে এতিমের কোন দাম নেই পৃথিবীর মানুষ গুলো বড় স্বার্থপর
ইলিশের গল্প - Best Of Gopal Bhar - Full Episode,Entertainment,ইয়া আল্লাহ্ তুমিই রক্ষার মালিক,0,,ইয়া আল্লাহ্ তুমিই রক্ষার মালিক
বিশ্বকাপ এ সেরা ১০ গোল | Top 10 Qatar World Cup 2022 Goals,Entertainment,রিছারনছনের গোল বেশি সুন্দর হয়েছে,0,,রিছারনছনের গোল বেশি সুন্দর হয়েছে
"Priyo Valobasa, প্রিয় ভালোবাসা | Bangla Natok | Apurba, JS Heme | Bangla Natok 2023, New Natok 2023",Entertainment,স্বামি  এত দেয় তারপর ও মন ভরেনা এরকম আছে অনেক মেয়ে জারা স্বামী কে শেষ করে আর মা বাাবাকে বাচায়,1,Spelling,স্বামি  এত দেয় তারপর ও মন ভরেনা এরকম আছে অনেক মেয়ে যারা স্বামী কে শেষ করে আর মা বাবাকে বাঁচায়
